Município;Dose;Total Doses Aplicadas
ZACARIAS;UNICA;69
VOTUPORANGA;UNICA;2315
VOTORANTIM;UNICA;3259
VITÓRIA BRASIL;UNICA;37
VISTA ALEGRE DO ALTO;UNICA;254
VIRADOURO;UNICA;468
VINHEDO;UNICA;2286
VERA CRUZ;UNICA;181
VÁRZEA PAULISTA;UNICA;3591
VARGEM GRANDE PAULISTA;UNICA;1369
VARGEM GRANDE DO SUL;UNICA;1017
VARGEM;UNICA;257
VALPARAÍSO;UNICA;609
VALINHOS;UNICA;3342
VALENTIM GENTIL;UNICA;407
URUPÊS;UNICA;351
URU;UNICA;26
URÂNIA;UNICA;233
UNIÃO PAULISTA;UNICA;36
UCHOA;UNICA;232
UBIRAJARA;UNICA;108
UBATUBA;UNICA;2149
UBARANA;UNICA;161
TURMALINA;UNICA;23
TURIÚBA;UNICA;39
TUPI PAULISTA;UNICA;325
TUPÃ;UNICA;1388
TUIUTI;UNICA;181
TRÊS FRONTEIRAS;UNICA;135
TREMEMBÉ;UNICA;1226
TRABIJU;UNICA;35
TORRINHA;UNICA;256
TORRE DE PEDRA;UNICA;50
TIMBURI;UNICA;39
TIETÊ;UNICA;1123
TERRA ROXA;UNICA;245
TEODORO SAMPAIO;UNICA;574
TEJUPÁ;UNICA;90
TAUBATÉ;UNICA;8518
TATUÍ;UNICA;3093
TARUMÃ;UNICA;410
TARABAI;UNICA;204
TAQUARIVAÍ;UNICA;128
TAQUARITUBA;UNICA;495
TAQUARITINGA;UNICA;1299
TAQUARAL;UNICA;59
TAPIRATIBA;UNICA;283
TAPIRAÍ;UNICA;151
TANABI;UNICA;625
TAMBAÚ;UNICA;572
TAIÚVA;UNICA;158
TAIAÇU;UNICA;150
TAGUAÍ;UNICA;344
TACIBA;UNICA;156
TABOÃO DA SERRA;UNICA;7662
TABATINGA;UNICA;521
TABAPUÃ;UNICA;268
SUZANO;UNICA;7567
SUZANÁPOLIS;UNICA;66
SUMARÉ;UNICA;8480
SUD MENNUCCI;UNICA;197
SOROCABA;UNICA;17990
SOCORRO;UNICA;984
SILVEIRAS;UNICA;162
SEVERÍNIA;UNICA;507
SETE BARRAS;UNICA;259
SERTÃOZINHO;UNICA;3543
SERRA NEGRA;UNICA;637
SERRA AZUL;UNICA;156
SEBASTIANÓPOLIS DO SUL;UNICA;82
SARUTAIÁ;UNICA;66
SARAPUÍ;UNICA;261
SÃO VICENTE;UNICA;7617
SÃO SIMÃO;UNICA;355
SÃO SEBASTIÃO DA GRAMA;UNICA;295
SÃO SEBASTIÃO;UNICA;2351
SÃO ROQUE;UNICA;2057
SÃO PEDRO DO TURVO;UNICA;160
SÃO PEDRO;UNICA;796
SÃO PAULO;UNICA;328283
SÃO MIGUEL ARCANJO;UNICA;836
SÃO MANUEL;UNICA;1036
SÃO LUIZ DO PARAITINGA;UNICA;240
SÃO LOURENÇO DA SERRA;UNICA;374
SÃO JOSÉ DOS CAMPOS;UNICA;16342
SÃO JOSÉ DO RIO PRETO;UNICA;11883
SÃO JOSÉ DO RIO PARDO;UNICA;1255
SÃO JOSÉ DO BARREIRO;UNICA;88
SÃO JOSÉ DA BELA VISTA;UNICA;228
SÃO JOAQUIM DA BARRA;UNICA;1437
SÃO JOÃO DO PAU D'ALHO;UNICA;30
SÃO JOÃO DE IRACEMA;UNICA;35
SÃO JOÃO DAS DUAS PONTES;UNICA;60
SÃO JOÃO DA BOA VISTA;UNICA;2120
SÃO FRANCISCO;UNICA;43
SÃO CARLOS;UNICA;6785
SÃO CAETANO DO SUL;UNICA;4906
SÃO BERNARDO DO CAMPO;UNICA;21075
SÃO BENTO DO SAPUCAÍ;UNICA;239
SANTOS;UNICA;7984
SANTÓPOLIS DO AGUAPEÍ;UNICA;162
SANTO EXPEDITO;UNICA;60
SANTO ANTÔNIO DO PINHAL;UNICA;148
SANTO ANTÔNIO DO JARDIM;UNICA;192
SANTO ANTÔNIO DO ARACANGUÁ;UNICA;238
SANTO ANTÔNIO DE POSSE;UNICA;648
SANTO ANTÔNIO DA ALEGRIA;UNICA;155
SANTO ANDRÉ;UNICA;17647
SANTO ANASTÁCIO;UNICA;507
SANTANA DE PARNAÍBA;UNICA;3749
SANTANA DA PONTE PENSA;UNICA;32
SANTA SALETE;UNICA;30
SANTA ROSA DE VITERBO;UNICA;666
SANTA RITA DO PASSA QUATRO;UNICA;547
SANTA RITA D'OESTE;UNICA;58
SANTA MERCEDES;UNICA;54
SANTA MARIA DA SERRA;UNICA;173
SANTA LÚCIA;UNICA;238
SANTA ISABEL;UNICA;1172
SANTA GERTRUDES;UNICA;628
SANTA FÉ DO SUL;UNICA;705
SANTA ERNESTINA;UNICA;164
SANTA CRUZ DO RIO PARDO;UNICA;979
SANTA CRUZ DAS PALMEIRAS;UNICA;984
SANTA CRUZ DA ESPERANÇA;UNICA;40
SANTA CRUZ DA CONCEIÇÃO;UNICA;111
SANTA CLARA D'OESTE;UNICA;32
SANTA BRANCA;UNICA;349
SANTA BÁRBARA D'OESTE;UNICA;5367
SANTA ALBERTINA;UNICA;125
SANTA ADÉLIA;UNICA;423
SANDOVALINA;UNICA;79
SALTO GRANDE;UNICA;214
SALTO DE PIRAPORA;UNICA;1119
SALTO;UNICA;3119
SALTINHO;UNICA;262
SALMOURÃO;UNICA;132
SALESÓPOLIS;UNICA;459
SALES OLIVEIRA;UNICA;286
SALES;UNICA;145
SAGRES;UNICA;44
SABINO;UNICA;129
RUBINÉIA;UNICA;60
RUBIÁCEA;UNICA;49
ROSEIRA;UNICA;328
ROSANA;UNICA;372
RIVERSUL;UNICA;115
RIOLÂNDIA;UNICA;263
RIO GRANDE DA SERRA;UNICA;1393
RIO DAS PEDRAS;UNICA;974
RIO CLARO;UNICA;5016
RINÓPOLIS;UNICA;263
RINCÃO;UNICA;291
RIFAINA;UNICA;89
RIBEIRÃO PRETO;UNICA;20458
RIBEIRÃO PIRES;UNICA;3338
RIBEIRÃO GRANDE;UNICA;171
RIBEIRÃO DOS ÍNDIOS;UNICA;44
RIBEIRÃO DO SUL;UNICA;80
RIBEIRÃO CORRENTE;UNICA;132
RIBEIRÃO BRANCO;UNICA;381
RIBEIRÃO BONITO;UNICA;321
RIBEIRA;UNICA;58
RESTINGA;UNICA;169
REGISTRO;UNICA;1085
REGINÓPOLIS;UNICA;72
REGENTE FEIJÓ;UNICA;475
REDENÇÃO DA SERRA;UNICA;86
RANCHARIA;UNICA;708
RAFARD;UNICA;246
QUINTANA;UNICA;150
QUELUZ;UNICA;294
QUEIROZ;UNICA;85
QUATÁ;UNICA;341
QUADRA;UNICA;114
PROMISSÃO;UNICA;1054
PRESIDENTE VENCESLAU;UNICA;951
PRESIDENTE PRUDENTE;UNICA;5203
PRESIDENTE EPITÁCIO;UNICA;916
PRESIDENTE BERNARDES;UNICA;237
PRESIDENTE ALVES;UNICA;102
PRATÂNIA;UNICA;129
PRAIA GRANDE;UNICA;8154
PRADÓPOLIS;UNICA;681
PRACINHA;UNICA;10
POTIRENDABA;UNICA;480
POTIM;UNICA;515
PORTO FERREIRA;UNICA;1402
PORTO FELIZ;UNICA;1343
PORANGABA;UNICA;224
POPULINA;UNICA;84
PONTES GESTAL;UNICA;61
PONTALINDA;UNICA;107
PONTAL;UNICA;1599
PONGAÍ;UNICA;81
POMPÉIA;UNICA;535
POLONI;UNICA;155
POÁ;UNICA;2940
PLATINA;UNICA;77
PLANALTO;UNICA;130
PITANGUEIRAS;UNICA;1156
PIRATININGA;UNICA;340
PIRASSUNUNGA;UNICA;1709
PIRAPOZINHO;UNICA;564
PIRAPORA DO BOM JESUS;UNICA;446
PIRANGI;UNICA;269
PIRAJUÍ;UNICA;515
PIRAJU;UNICA;563
PIRACICABA;UNICA;10729
PIRACAIA;UNICA;696
PIQUETE;UNICA;342
PIQUEROBI;UNICA;54
PINHALZINHO;UNICA;401
PINDORAMA;UNICA;425
PINDAMONHANGABA;UNICA;4454
PILAR DO SUL;UNICA;681
PIEDADE;UNICA;1563
PIACATU;UNICA;133
PERUÍBE;UNICA;1351
PEREIRAS;UNICA;220
PEREIRA BARRETO;UNICA;576
PENÁPOLIS;UNICA;1323
