Mesorregiao,Municipios
Vale São-Franciscano da Bahia,Chorrochó
Vale São-Franciscano da Bahia,Glória
Vale São-Franciscano da Bahia,Macururé
Vale São-Franciscano da Bahia,Paulo Afonso
Vale São-Franciscano da Bahia,Rodelas
Vale São-Franciscano da Bahia,Barra
Vale São-Franciscano da Bahia,Buritirama
Vale São-Franciscano da Bahia,Ibotirama
Vale São-Franciscano da Bahia,Itaguaçu da Bahia
Vale São-Franciscano da Bahia,Morpará
Vale São-Franciscano da Bahia,Muquém do São Francisco
Vale São-Franciscano da Bahia,Xique-Xique
Vale São-Franciscano da Bahia,Bom Jesus da Lapa
Vale São-Franciscano da Bahia,Carinhanha
Vale São-Franciscano da Bahia,Feira da Mata
Vale São-Franciscano da Bahia,Paratinga
Vale São-Franciscano da Bahia,Serra do Ramalho
Vale São-Franciscano da Bahia,Sítio do Mato
Centro Norte Baiano,Andorinha
Centro Norte Baiano,Antônio Gonçalves
Centro Norte Baiano,Campo Formoso
Centro Norte Baiano,Filadélfia
Centro Norte Baiano,Itiúba
Centro Norte Baiano,Jaguarari
Centro Norte Baiano,Pindobaçu
Centro Norte Baiano,Senhor do Bonfim
Centro Norte Baiano,Umburanas
Centro Norte Baiano,América Dourada
Centro Norte Baiano,Barra do Mendes
Centro Norte Baiano,Barro Alto
Centro Norte Baiano,Cafarnaum
Centro Norte Baiano,Canarana
Centro Norte Baiano,Central
Centro Norte Baiano,Gentio do Ouro
Centro Norte Baiano,Ibipeba
Centro Norte Baiano,Ibititá
Centro Norte Baiano,Iraquara
Centro Norte Baiano,Irecê
Centro Norte Baiano,João Dourado
Centro Norte Baiano,Jussara
Centro Norte Baiano,Lapão
Centro Norte Baiano,Mulungu do Morro
Centro Norte Baiano,Presidente Dutra
Centro Norte Baiano,São Gabriel
Centro Norte Baiano,Souto Soares
Centro Norte Baiano,Uibaí
Centro Norte Baiano,Caém
Centro Norte Baiano,Caldeirão Grande
Centro Norte Baiano,Capim Grosso
Centro Norte Baiano,Jacobina
Centro Norte Baiano,Miguel Calmon
Centro Norte Baiano,Mirangaba
Centro Norte Baiano,Morro do Chapéu
Centro Norte Baiano,Ourolândia
Centro Norte Baiano,Piritiba
Centro Norte Baiano,Ponto Novo
Centro Norte Baiano,Quixabeira
Centro Norte Baiano,São José do Jacuípe
Centro Norte Baiano,Saúde
Centro Norte Baiano,Serrolândia
Centro Norte Baiano,Várzea do Poço
Centro Norte Baiano,Várzea Nova
Centro Norte Baiano,Baixa Grande
Centro Norte Baiano,Boa Vista do Tupim
Centro Norte Baiano,Iaçu
Centro Norte Baiano,Ibiquera
Centro Norte Baiano,Itaberaba
Centro Norte Baiano,Lajedinho
Centro Norte Baiano,Macajuba
Centro Norte Baiano,Mairi
Centro Norte Baiano,Mundo Novo
Centro Norte Baiano,Ruy Barbosa
Centro Norte Baiano,Tapiramutá
Centro Norte Baiano,Várzea da Roça
Centro Norte Baiano,Água Fria
Centro Norte Baiano,Anguera
Centro Norte Baiano,Antônio Cardoso
Centro Norte Baiano,Conceição da Feira
Centro Norte Baiano,Conceição do Jacuípe
Centro Norte Baiano,Coração de Maria
Centro Norte Baiano,Elísio Medrado
Centro Norte Baiano,Feira de Santana
Centro Norte Baiano,Ipecaetá
Centro Norte Baiano,Ipirá
Centro Norte Baiano,Irará
Centro Norte Baiano,Itatim
Centro Norte Baiano,Ouriçangas
Centro Norte Baiano,Pedrão
Centro Norte Baiano,Pintadas
Centro Norte Baiano,Rafael Jambeiro
Centro Norte Baiano,Santa Bárbara
Centro Norte Baiano,Santa Teresinha
Centro Norte Baiano,Santanópolis
Centro Norte Baiano,Santo Estêvão
Centro Norte Baiano,São Gonçalo dos Campos
Centro Norte Baiano,Serra Preta
Centro Norte Baiano,Tanquinho
Centro Norte Baiano,Teodoro Sampaio
Nordeste Baiano,Coronel João Sá
Nordeste Baiano,Jeremoabo
Nordeste Baiano,Pedro Alexandre
Nordeste Baiano,Santa Brígida
