Município;Dose;Total Doses Aplicadas
ZACARIAS;UNICA;72
VOTUPORANGA;UNICA;2351
VOTORANTIM;UNICA;3287
VITÓRIA BRASIL;UNICA;37
VISTA ALEGRE DO ALTO;UNICA;258
VIRADOURO;UNICA;470
VINHEDO;UNICA;2299
VERA CRUZ;UNICA;191
VÁRZEA PAULISTA;UNICA;3601
VARGEM GRANDE PAULISTA;UNICA;1381
VARGEM GRANDE DO SUL;UNICA;1018
VARGEM;UNICA;258
VALPARAÍSO;UNICA;621
VALINHOS;UNICA;3454
VALENTIM GENTIL;UNICA;429
URUPÊS;UNICA;359
URU;UNICA;28
URÂNIA;UNICA;238
UNIÃO PAULISTA;UNICA;36
UCHOA;UNICA;235
UBIRAJARA;UNICA;109
UBATUBA;UNICA;2237
UBARANA;UNICA;166
TURMALINA;UNICA;23
TURIÚBA;UNICA;39
TUPI PAULISTA;UNICA;332
TUPÃ;UNICA;1404
TUIUTI;UNICA;186
TRÊS FRONTEIRAS;UNICA;137
TREMEMBÉ;UNICA;1237
TRABIJU;UNICA;35
TORRINHA;UNICA;258
TORRE DE PEDRA;UNICA;50
TIMBURI;UNICA;45
TIETÊ;UNICA;1131
TERRA ROXA;UNICA;247
TEODORO SAMPAIO;UNICA;596
TEJUPÁ;UNICA;92
TAUBATÉ;UNICA;8545
TATUÍ;UNICA;3106
TARUMÃ;UNICA;412
TARABAI;UNICA;210
TAQUARIVAÍ;UNICA;132
TAQUARITUBA;UNICA;509
TAQUARITINGA;UNICA;1308
TAQUARAL;UNICA;59
TAPIRATIBA;UNICA;287
TAPIRAÍ;UNICA;153
TANABI;UNICA;630
TAMBAÚ;UNICA;572
TAIÚVA;UNICA;187
TAIAÇU;UNICA;154
TAGUAÍ;UNICA;348
TACIBA;UNICA;168
TABOÃO DA SERRA;UNICA;7716
TABATINGA;UNICA;548
TABAPUÃ;UNICA;271
SUZANO;UNICA;7627
SUZANÁPOLIS;UNICA;74
SUMARÉ;UNICA;8531
SUD MENNUCCI;UNICA;198
SOROCABA;UNICA;18624
SOCORRO;UNICA;988
SILVEIRAS;UNICA;166
SEVERÍNIA;UNICA;512
SETE BARRAS;UNICA;265
SERTÃOZINHO;UNICA;3568
SERRA NEGRA;UNICA;638
SERRA AZUL;UNICA;168
SEBASTIANÓPOLIS DO SUL;UNICA;82
SARUTAIÁ;UNICA;66
SARAPUÍ;UNICA;263
SÃO VICENTE;UNICA;7710
SÃO SIMÃO;UNICA;362
SÃO SEBASTIÃO DA GRAMA;UNICA;297
SÃO SEBASTIÃO;UNICA;2363
SÃO ROQUE;UNICA;2094
SÃO PEDRO DO TURVO;UNICA;160
SÃO PEDRO;UNICA;802
SÃO PAULO;UNICA;333574
SÃO MIGUEL ARCANJO;UNICA;851
SÃO MANUEL;UNICA;1038
SÃO LUIZ DO PARAITINGA;UNICA;241
SÃO LOURENÇO DA SERRA;UNICA;379
SÃO JOSÉ DOS CAMPOS;UNICA;16878
SÃO JOSÉ DO RIO PRETO;UNICA;12411
SÃO JOSÉ DO RIO PARDO;UNICA;1268
SÃO JOSÉ DO BARREIRO;UNICA;88
SÃO JOSÉ DA BELA VISTA;UNICA;229
SÃO JOAQUIM DA BARRA;UNICA;1440
SÃO JOÃO DO PAU D'ALHO;UNICA;30
SÃO JOÃO DE IRACEMA;UNICA;35
SÃO JOÃO DAS DUAS PONTES;UNICA;60
SÃO JOÃO DA BOA VISTA;UNICA;2141
SÃO FRANCISCO;UNICA;43
SÃO CARLOS;UNICA;7309
SÃO CAETANO DO SUL;UNICA;4967
SÃO BERNARDO DO CAMPO;UNICA;21239
SÃO BENTO DO SAPUCAÍ;UNICA;242
SANTOS;UNICA;8093
SANTÓPOLIS DO AGUAPEÍ;UNICA;162
SANTO EXPEDITO;UNICA;60
SANTO ANTÔNIO DO PINHAL;UNICA;148
SANTO ANTÔNIO DO JARDIM;UNICA;192
SANTO ANTÔNIO DO ARACANGUÁ;UNICA;239
SANTO ANTÔNIO DE POSSE;UNICA;651
SANTO ANTÔNIO DA ALEGRIA;UNICA;158
SANTO ANDRÉ;UNICA;17691
SANTO ANASTÁCIO;UNICA;515
SANTANA DE PARNAÍBA;UNICA;3785
SANTANA DA PONTE PENSA;UNICA;41
